受試者編號,鏡片規格,鏡片版本,配戴日期,定位評分,舒適度評分,視覺模糊,瞬目位移,缺陷與受試者反饋
S001,14.2 細水膠,V18.2,2026-06-20,OK,5,否,否,配戴非常舒適，無任何異物感。
S002,14.2 細水膠,V18.2,2026-06-20,OK,4,否,否,定位良好，但感覺稍微乾澀。
S003,14.2 細水膠,V18.2,2026-06-20,OK,4,否,否,配戴OK，稍微有氣孔但不明顯。
S004,14.2 細水膠,V18.2,2026-06-21,OK,4,否,否,沒什麼問題，定位很正。
S005,14.2 細水膠,V18.2,2026-06-21,OK,5,否,否,非常清晰，好戴。
S006,14.2 細水膠,V18.2,2026-06-21,OK,3,否,否,左眼眨眼時有點磨，感覺鏡片邊緣稍微有印痕。
S007,14.2 細水膠,V18.2,2026-06-22,OK,4,否,否,配戴起來挺舒適，定位正常。
S008,14.2 細水膠,V18.2,2026-06-22,OK,5,否,否,非常滿意，很舒服，無乾澀感。
S009,14.2 細水膠,V18.2,2026-06-22,OK,4,否,否,配戴2小時後無異物感，但鏡片取下時有發現輕微漏白現象。
S010,14.2 細水膠,V18.2,2026-06-22,OK,4,否,否,戴著很自然，清晰度足夠。
